                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.93507,                0.50235,                  1.096,                0.85806,                0.74872,                0.78413,                0.56039,                 1.1246,                0.54918,                 1.2717,                0.00802,                0.00802,                0.00802
                     63,                0.93569,                0.50041,                 1.0962,                0.85259,                 0.7555,                0.78464,                0.56128,                 1.1248,                0.54878,                  1.272,               0.007987,               0.007987,               0.007987
                     64,                 0.9351,                0.49613,                 1.0962,                0.85051,                0.76212,                0.78775,                0.56397,                 1.1258,                0.54476,                  1.273,               0.007954,               0.007954,               0.007954
                     65,                0.93273,                0.49776,                 1.0947,                0.85605,                 0.7616,                0.79346,                0.56611,                 1.1271,                0.54005,                 1.2743,               0.007921,               0.007921,               0.007921
                     66,                0.93181,                0.49691,                 1.0941,                0.86535,                0.76149,                0.79524,                0.56794,                 1.1275,                0.53881,                  1.275,               0.007888,               0.007888,               0.007888
                     67,                0.93256,                0.49479,                 1.0948,                0.87176,                0.75938,                0.79636,                0.56837,                 1.1282,                0.53893,                 1.2757,               0.007855,               0.007855,               0.007855
                     68,                0.93258,                0.49345,                  1.095,                0.86009,                0.76162,                 0.7952,                0.56845,                 1.1288,                0.53961,                 1.2768,               0.007822,               0.007822,               0.007822
                     69,                0.93101,                0.49161,                 1.0936,                0.86906,                0.76071,                0.79889,                0.56861,                 1.1289,                0.53779,                 1.2772,               0.007789,               0.007789,               0.007789
                     70,                0.93139,                0.49393,                 1.0941,                0.87332,                0.75948,                0.79765,                0.56831,                 1.1295,                0.53744,                 1.2776,               0.007756,               0.007756,               0.007756
                     71,                0.93013,                0.49142,                 1.0936,                0.87173,                0.75426,                0.79644,                0.56771,                 1.1303,                0.53606,                 1.2789,               0.007723,               0.007723,               0.007723
                     72,                0.92907,                0.48903,                 1.0932,                0.86062,                0.76142,                0.79652,                0.56675,                 1.1305,                0.53775,                 1.2791,                0.00769,                0.00769,                0.00769
                     73,                0.92992,                0.48663,                 1.0933,                0.86286,                0.75771,                0.79613,                0.56701,                 1.1304,                0.53923,                 1.2792,               0.007657,               0.007657,               0.007657
                     74,                0.92791,                0.48729,                 1.0925,                0.84949,                0.76327,                0.79537,                0.56618,                 1.1311,                0.54103,                 1.2799,               0.007624,               0.007624,               0.007624
                     75,                 0.9289,                0.48446,                 1.0929,                0.86045,                0.75162,                0.79303,                0.56411,                 1.1313,                0.54261,                 1.2797,               0.007591,               0.007591,               0.007591
                     76,                0.92724,                0.48559,                  1.092,                0.84871,                0.75679,                0.79119,                0.56257,                 1.1311,                0.54657,                 1.2799,               0.007558,               0.007558,               0.007558
                     77,                0.92603,                0.48505,                 1.0915,                0.84769,                0.75472,                0.78923,                0.56249,                 1.1308,                0.55048,                 1.2796,               0.007525,               0.007525,               0.007525
                     78,                0.92525,                0.48081,                 1.0915,                0.85591,                0.74583,                0.78897,                0.56274,                 1.1318,                0.55132,                 1.2807,               0.007492,               0.007492,               0.007492
                     79,                0.92631,                0.48079,                 1.0919,                0.85731,                0.74992,                0.79027,                0.56364,                 1.1324,                0.54598,                 1.2814,               0.007459,               0.007459,               0.007459
                     80,                0.92508,                0.47953,                  1.091,                0.86268,                0.74659,                0.79033,                0.56372,                 1.1326,                0.54314,                 1.2819,               0.007426,               0.007426,               0.007426
                     81,                 0.9241,                0.47881,                 1.0906,                 0.8948,                0.72779,                 0.7931,                0.56538,                 1.1326,                0.54012,                 1.2822,               0.007393,               0.007393,               0.007393
                     82,                0.92449,                0.47785,                 1.0909,                0.89997,                0.73482,                0.79388,                 0.5654,                 1.1334,                0.53797,                 1.2831,                0.00736,                0.00736,                0.00736
                     83,                0.92326,                0.47631,                 1.0899,                0.89973,                0.73536,                0.79489,                0.56617,                 1.1336,                0.53571,                 1.2832,               0.007327,               0.007327,               0.007327
                     84,                0.92206,                0.47428,                 1.0898,                0.89796,                0.73524,                0.79567,                 0.5672,                 1.1343,                0.53537,                 1.2836,               0.007294,               0.007294,               0.007294
                     85,                0.92251,                 0.4744,                 1.0901,                0.89538,                0.73682,                0.79365,                0.56729,                 1.1351,                0.53567,                 1.2842,               0.007261,               0.007261,               0.007261
                     86,                0.92161,                0.47452,                 1.0893,                0.88444,                0.73947,                0.79281,                0.56504,                 1.1356,                0.53597,                 1.2847,               0.007228,               0.007228,               0.007228
                     87,                0.92014,                0.47113,                 1.0887,                0.88966,                0.73745,                 0.7921,                0.56476,                 1.1362,                0.53575,                 1.2856,               0.007195,               0.007195,               0.007195
                     88,                0.91988,                0.47193,                 1.0882,                 0.8914,                0.73293,                0.79176,                0.56532,                 1.1361,                0.53732,                  1.286,               0.007162,               0.007162,               0.007162
                     89,                0.92019,                0.47006,                 1.0886,                0.89239,                0.73643,                0.78941,                0.56471,                 1.1365,                0.53809,                 1.2865,               0.007129,               0.007129,               0.007129
                     90,                0.91896,                0.46919,                 1.0876,                0.89006,                0.73247,                0.78861,                0.56256,                 1.1368,                0.53844,                 1.2869,               0.007096,               0.007096,               0.007096
                     91,                0.91848,                0.46769,                 1.0877,                 0.8811,                0.73284,                0.78822,                0.56248,                 1.1377,                0.53927,                 1.2879,               0.007063,               0.007063,               0.007063
